origin_id_user,destination_id_user,created_at
4350668590575230341,9148208895795339310,2020-10-23 15:13:48.933+00
4350668590575230341,7416477288413185765,2020-10-27 07:55:29.343+00
4350668590575230341,7316008594556535521,2020-10-27 07:55:11.292+00
4350668590575230341,3612554554390713215,2020-10-27 10:15:33.853+00
4350668590575230341,8853195523552927718,2021-02-27 09:28:12.056211+00
4350668590575230341,7111564292493153100,2020-10-28 08:54:05.777+00
4350668590575230341,809334107046218210,2020-10-29 20:39:48.779+00
4350668590575230341,3228513548794648539,2020-11-01 13:07:36.778+00
4350668590575230341,6431688417514282661,2020-11-27 10:06:11.981+00
4350668590575230341,1957328152867837753,2020-11-27 10:06:18.053+00
4350668590575230341,6454032207599579310,2020-10-31 18:59:08.106+00
4350668590575230341,2496137656987021732,2020-11-02 16:15:16.692+00
4350668590575230341,9203483486488200964,2020-11-13 13:34:27.928+00
4350668590575230341,686734388087859853,2020-11-18 14:38:01.907+00
4350668590575230341,5452865254416780356,2020-11-27 10:02:58.148+00
4350668590575230341,8662842457172753241,2020-12-09 17:28:57.52+00
4350668590575230341,1022800534151043681,2021-01-23 15:56:21.98522+00
4350668590575230341,566710044797111066,2020-12-14 16:19:36.328+00
4350668590575230341,4936158047126750643,2020-12-14 16:17:17.067+00
4350668590575230341,4218722233454171471,2020-12-22 15:52:31.842+00
4350668590575230341,3440323574651209741,2020-12-22 14:46:46.685+00
4350668590575230341,8644101315264184847,2020-12-23 11:31:51.921+00
4350668590575230341,7254091991522589366,2021-03-04 18:21:09.707559+00
4350668590575230341,136009966997341428,2021-02-20 11:33:42.125291+00
4350668590575230341,5294942207792145396,2021-02-20 13:07:01.89416+00
4350668590575230341,5233072622388009163,2021-02-20 20:45:56.484723+00
4350668590575230341,8804180149970337977,2021-02-25 16:28:32.257709+00
4350668590575230341,8728099802536952208,2021-02-26 15:03:47.684889+00
4350668590575230341,1840617119047670708,2021-03-18 18:07:56.509816+00
4350668590575230341,3610324671350147035,2021-03-04 09:34:19.266684+00
